"","coefficients_cox","stand_e_cox","p_value_cox"
"total_liabilities_by_net_assets",-0.0000000022097853789399,0.0000000545743134045552,0.967701435899568
"current_assets_by_current_liabilities",-0.52889420899978,0.0216905545633674,0
"tax",-0.00000730121478054188,0.000000702031662088274,0
"EBTIDA",-0.0000000412766547072225,0.0000000598599616523315,0.490474927270625
"financial_expenses_by_total_assets",-0.00622679843454798,0.16102958788007,0.969154560157748
"EBIT",0.0000000975769820117998,0.000000060522459557373,0.106908819040161
"working_capital_by_total_assets",-0.0253604814161677,0.0272593429275328,0.352194611823255
"income_tax_by_total_assets",1.13494165048527,0.227175288837782,0.000000585665117069922
"cooperative",0.565180896967392,0.146142098590156,0.00011002985740638
"nonprofit",-0.631728427122739,0.580926298497081,0.276837890126336
"other",-1.75613322429879,0.768296655253952,0.0222689534877758
"private",1.30344916885335,0.0645280524926383,0
